#metadataBlock	name	dataverseAlias	displayName												
	depositor_zh	提交者	将数据集提交到平台的机构或个人		text	33		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		citation_zh
	dateOfDeposit_zh	提交日期	提交日期	YYYY-MM-DD	date	34		FALSE	FALSE	FALSE	TRUE	FALSE	FALSE		citation_zh
	dsDescription_zh	描述	描述数据集的产生目的、性质、范围等		none	35		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		citation_zh
	dsDescriptionValue_zh	文本	文本内容		textbox	36	#VALUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	dsDescription_zh	citation_zh
	dsDescriptionDate_zh	日期	填写描述日期，用于区分一个数据集的多个描述	YYYY-MM-DD	date	37	(#VALUE)	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	dsDescription_zh	citation_zh
	subject_zh	学科	学科		text	38		TRUE	TRUE	TRUE	TRUE	TRUE	TRUE		citation_zh
	keyword_zh	关键词	提炼数据集的重要和关键内容		none	39		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		citation_zh
	keywordValue_zh	词项	关键词内容		text	40	#VALUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	keyword_zh	citation_zh
	keywordVocabulary_zh	规范词表	规范的控制词表，例如LCSH，MeSH		text	41	(#VALUE)	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	keyword_zh	citation_zh
	keywordVocabularyURI_zh	词表URL	词表URL	请输入绝对路径，以http://开头	url	42	<a href="#VALUE">#VALUE</a>	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	keyword_zh	citation_zh
	topicClassification_zh	主题词	数据集涵盖的重要领域或者学科		none	43		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation_zh
	topicClassValue_zh	词项	主题词内容		text	44	#VALUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	topicClassification_zh	citation_zh
	topicClassVocab_zh	规范词表	规范的控制词表，例如LCSH，MeSH		text	45	(#VALUE)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	topicClassification_zh	citation_zh
	topicClassVocabURI_zh	词表URL	词表URL	Enter full URL, starting with http://	url	46	<a href="#VALUE">#VALUE</a>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	topicClassification_zh	citation_zh
	language_zh	语言	语言		text	47		TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		citation_zh
	kindOfData_zh	数据种类	数据种类		text	48		TRUE	FALSE	TRUE	TRUE	FALSE	FALSE		citation_zh
